RAW
device: cuda
	epoch 1 loss -> train: 3.5909	val: 2.2911
		saving model
	epoch 2 loss -> train: 2.6117	val: 2.0279
		saving model
	epoch 3 loss -> train: 2.2472	val: 1.8150
		saving model
	epoch 4 loss -> train: 2.0119	val: 1.6391
		saving model
	epoch 5 loss -> train: 1.8519	val: 1.5138
		saving model
	epoch 6 loss -> train: 1.7227	val: 1.3914
		saving model
	epoch 7 loss -> train: 1.6018	val: 1.2788
		saving model
	epoch 8 loss -> train: 1.5060	val: 1.1871
		saving model
	epoch 9 loss -> train: 1.4189	val: 1.1089
		saving model
	epoch 10 loss -> train: 1.3392	val: 1.0421
		saving model
	epoch 11 loss -> train: 1.2849	val: 0.9861
		saving model
	epoch 12 loss -> train: 1.2165	val: 0.9391
		saving model
	epoch 13 loss -> train: 1.1786	val: 0.8997
		saving model
	epoch 14 loss -> train: 1.1318	val: 0.8660
		saving model
	epoch 15 loss -> train: 1.0920	val: 0.8363
		saving model
	epoch 16 loss -> train: 1.0550	val: 0.8068
		saving model
	epoch 17 loss -> train: 1.0154	val: 0.7790
		saving model
	epoch 18 loss -> train: 0.9897	val: 0.7569
		saving model
	epoch 19 loss -> train: 0.9612	val: 0.7376
		saving model
	epoch 20 loss -> train: 0.9387	val: 0.7206
		saving model
	epoch 21 loss -> train: 0.9122	val: 0.7047
		saving model
	epoch 22 loss -> train: 0.8906	val: 0.6885
		saving model
	epoch 23 loss -> train: 0.8719	val: 0.6730
		saving model
	epoch 24 loss -> train: 0.8494	val: 0.6605
		saving model
	epoch 25 loss -> train: 0.8312	val: 0.6487
		saving model
	epoch 26 loss -> train: 0.8150	val: 0.6384
		saving model
	epoch 27 loss -> train: 0.7998	val: 0.6278
		saving model
	epoch 28 loss -> train: 0.7805	val: 0.6165
		saving model
	epoch 29 loss -> train: 0.7746	val: 0.6069
		saving model
	epoch 30 loss -> train: 0.7597	val: 0.5985
		saving model
	epoch 31 loss -> train: 0.7510	val: 0.5900
		saving model
	epoch 32 loss -> train: 0.7344	val: 0.5807
		saving model
	epoch 33 loss -> train: 0.7286	val: 0.5737
		saving model
	epoch 34 loss -> train: 0.7186	val: 0.5673
		saving model
	epoch 35 loss -> train: 0.7061	val: 0.5602
		saving model
	epoch 36 loss -> train: 0.6971	val: 0.5535
		saving model
	epoch 37 loss -> train: 0.6877	val: 0.5480
		saving model
	epoch 38 loss -> train: 0.6829	val: 0.5431
		saving model
	epoch 39 loss -> train: 0.6712	val: 0.5379
		saving model
	epoch 40 loss -> train: 0.6640	val: 0.5310
		saving model
	epoch 41 loss -> train: 0.6597	val: 0.5254
		saving model
	epoch 42 loss -> train: 0.6513	val: 0.5208
		saving model
	epoch 43 loss -> train: 0.6403	val: 0.5160
		saving model
	epoch 44 loss -> train: 0.6344	val: 0.5115
		saving model
	epoch 45 loss -> train: 0.6279	val: 0.5073
		saving model
	epoch 46 loss -> train: 0.6225	val: 0.5030
		saving model
	epoch 47 loss -> train: 0.6178	val: 0.4991
		saving model
	epoch 48 loss -> train: 0.6110	val: 0.4956
		saving model
	epoch 49 loss -> train: 0.6075	val: 0.4916
		saving model
	epoch 50 loss -> train: 0.6003	val: 0.4891
		saving model
	epoch 51 loss -> train: 0.5900	val: 0.4850
		saving model
	epoch 52 loss -> train: 0.5893	val: 0.4805
		saving model
	epoch 53 loss -> train: 0.5843	val: 0.4767
		saving model
	epoch 54 loss -> train: 0.5787	val: 0.4740
		saving model
	epoch 55 loss -> train: 0.5721	val: 0.4710
		saving model
	epoch 56 loss -> train: 0.5696	val: 0.4674
		saving model
	epoch 57 loss -> train: 0.5661	val: 0.4647
		saving model
	epoch 58 loss -> train: 0.5581	val: 0.4616
		saving model
	epoch 59 loss -> train: 0.5545	val: 0.4584
		saving model
	epoch 60 loss -> train: 0.5543	val: 0.4555
		saving model
